CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0181,0.9346517961588330
C0001,C0120,0.8975310829300920
C0001,C0184,0.8640730287089360
C0002,C0088,0.984786970122018
C0002,C0077,0.900745855874733
C0002,C0144,0.8961794025264800
C0003,C0031,0.8639478762562340
C0003,C0025,0.8621584309391510
C0003,C0052,0.8448070519896930
C0004,C0165,0.9825787774221350
C0004,C0153,0.9127870619749090
C0004,C0169,0.9081480442704980
C0005,C0140,0.9899379450022260
C0005,C0186,0.9758473072379670
C0005,C0146,0.8995915629338850
C0006,C0187,0.9497359319245030
C0006,C0168,0.9371224523840910
C0006,C0126,0.9150179444092310
C0007,C0146,0.9958711037026340
C0007,C0115,0.9630039760834650
C0007,C0186,0.9317037582999350
C0008,C0136,0.8469524598573370
C0008,C0018,0.8206039030742580
C0008,C0065,0.8106787250085870
C0009,C0061,0.9682324770160670
C0009,C0198,0.9456198660166510
C0009,C0103,0.9194743627131420
C0010,C0111,0.9602659479910560
C0010,C0062,0.8883745564803460
C0010,C0121,0.8844038008422730
C0011,C0137,0.9306538158081070
C0011,C0126,0.9283362309552400
C0011,C0006,0.89524712943607
C0012,C0163,0.980879650665658
C0012,C0113,0.923363496904443
C0012,C0104,0.920079095148028
C0013,C0099,0.9833442181673930
C0013,C0082,0.8783633448237950
C0013,C0108,0.8750978621524500
C0014,C0097,0.9503366989308650
C0014,C0060,0.9452528761174570
C0014,C0063,0.9362218811296740
C0015,C0131,0.9730615178439970
C0015,C0058,0.9499440319395960
C0015,C0020,0.8820023768756970
C0016,C0042,0.9257952460948500
C0016,C0040,0.8985415340905290
C0016,C0185,0.8874956688302720
C0017,C0075,0.9686545355520850
C0017,C0041,0.9377426404739250
C0017,C0057,0.8915115751216780
C0018,C0046,0.9358014332937270
C0018,C0122,0.9217488017803510
C0018,C0068,0.8796397594497000
C0019,C0073,0.9870135593057630
C0019,C0132,0.9287073004553350
C0019,C0063,0.8873283603332750
C0020,C0140,0.9055667431387260
C0020,C0005,0.8956395224637010
C0020,C0131,0.8913293082354250
